,year,site,plot,Pool,Seed.density,alpha.hill1,beta.tot
106,2018,Concolor,33,High diversity,700,1,0.431286988
107,2018,Concolor,34,Low diversity,485,3.21854476,0.414142555
108,2018,Concolor,35,High diversity,485,1,0.69116276
109,2018,Concolor,36,Low diversity,700,1.569192583,0.37942505
110,2018,Concolor,38,Low diversity,700,2,0.311944434
111,2018,Concolor,39,Low diversity,700,1.405649929,0.316907774
112,2018,Concolor,4,Low diversity,970,1.569192583,0.537248103
113,2018,Concolor,41,Low diversity,270,1,0.166666667
114,2018,Concolor,42,Low diversity,270,1,0.166666667
115,2018,Concolor,43,Low diversity,970,2.25532359,0.333000402
116,2018,Concolor,44,High diversity,970,6.046575147,0.220787044
117,2018,Concolor,45,High diversity,700,2.217347452,0.618201117
118,2018,Concolor,47,Low diversity,970,1.848258738,0.242021217
119,2018,Concolor,48,High diversity,485,2,0.524754315
120,2018,Concolor,5,High diversity,700,1.716357208,0.521375464
121,2018,Concolor,6,Low diversity,970,1,0.686048657
122,2018,Concolor,7,High diversity,970,1.569192583,0.63219267
123,2018,Concolor,8,High diversity,270,1,0.576182869
124,2018,Crooked Tongue,1,High diversity,485,2.418097195,0.622653437
125,2018,Crooked Tongue,10,Low diversity,970,1.234027749,0.646763994
126,2018,Crooked Tongue,11,Low diversity,270,1.079991553,0.590640424
127,2018,Crooked Tongue,12,High diversity,485,1.691566028,0.543358516
128,2018,Crooked Tongue,13,High diversity,270,2.460232976,0.677108856
129,2018,Crooked Tongue,14,Low diversity,970,1.879067006,0.040664776
130,2018,Crooked Tongue,15,High diversity,485,8.160322991,0.368091251
131,2018,Crooked Tongue,16,Low diversity,485,2.903199503,0.376412842
132,2018,Crooked Tongue,17,Low diversity,700,2.202765619,0.288527501
133,2018,Crooked Tongue,18,Low diversity,485,3.298769777,0.483037928
134,2018,Crooked Tongue,19,High diversity,485,2.866015008,0.628786293
135,2018,Crooked Tongue,2,Low diversity,970,2.480168738,0.189537991
136,2018,Crooked Tongue,20,Low diversity,270,1.569192583,0.573465363
137,2018,Crooked Tongue,21,High diversity,700,4.042903111,0.341467676
138,2018,Crooked Tongue,22,Low diversity,485,3.184548837,0.165987882
139,2018,Crooked Tongue,23,Low diversity,485,1.896680309,0.276475426
140,2018,Crooked Tongue,24,Low diversity,270,2.370734728,0.146905341
141,2018,Crooked Tongue,25,Low diversity,970,2.587633022,0.256525205
142,2018,Crooked Tongue,26,High diversity,970,5.707519606,0.256810524
143,2018,Crooked Tongue,27,Low diversity,270,3.827122361,0.388763965
144,2018,Crooked Tongue,28,High diversity,270,3.858722513,0.459731447
145,2018,Crooked Tongue,29,Low diversity,700,3.72437926,0.363030886
146,2018,Crooked Tongue,3,Low diversity,970,1.849146067,0.225723389
147,2018,Crooked Tongue,30,High diversity,485,4.786085337,0.396320186
148,2018,Crooked Tongue,31,High diversity,970,5.953517735,0.107909383
149,2018,Crooked Tongue,32,High diversity,970,4.164797065,0.315826367
150,2018,Crooked Tongue,33,High diversity,970,5.132085738,0.265182712
151,2018,Crooked Tongue,34,Low diversity,700,3.121523564,0.305379594
152,2018,Crooked Tongue,35,High diversity,270,4.468609042,0.530216611
153,2018,Crooked Tongue,36,High diversity,970,3.121908143,0.59900957
154,2018,Crooked Tongue,37,Low diversity,700,4.351924483,0.353224231
155,2018,Crooked Tongue,38,High diversity,700,3.91739674,0.141426848
156,2018,Crooked Tongue,39,Low diversity,270,3.719336452,0.528982116
157,2018,Crooked Tongue,4,Low diversity,970,1.356131413,0.195858064
158,2018,Crooked Tongue,40,High diversity,485,8.081896924,0.401465648
159,2018,Crooked Tongue,41,High diversity,700,6.352965728,0.424058258
160,2018,Crooked Tongue,42,Low diversity,700,3.28928718,0.206815274
161,2018,Crooked Tongue,43,High diversity,270,2.797023372,0.331213302
162,2018,Crooked Tongue,44,High diversity,270,4.281707594,0.575181458
163,2018,Crooked Tongue,45,Low diversity,485,2.721052068,0.162602285
164,2018,Crooked Tongue,46,Low diversity,485,2.883314575,0.187160512
165,2018,Crooked Tongue,47,Low diversity,700,3.81029764,0.167601895
166,2018,Crooked Tongue,48,High diversity,700,2.414352219,0.18420424
167,2018,Crooked Tongue,5,Low diversity,270,2.272158522,0.173735743
168,2018,Crooked Tongue,6,High diversity,270,2.068867513,0.51765072
